time,cpu%,mem%
20210108-094550,0.0,0.6085633821908367
20210108-094553,0.0,0.6085633821908367
20210108-094556,0.0,0.6085633821908367
20210108-094559,0.0,0.6085633821908367
20210108-094602,0.0,0.6085633821908367
20210108-094605,0.0,0.6085633821908367
20210108-094608,0.0,0.6085633821908367
20210108-094611,0.0,0.6085633821908367
20210108-094614,0.0,0.6085633821908367
20210108-094617,0.0,0.6085633821908367
20210108-094620,0.0,0.6085633821908367
20210108-094623,0.0,0.6085633821908367
20210108-094626,0.0,0.6085633821908367
20210108-094629,0.0,0.6085633821908367
20210108-094632,0.0,0.6085633821908367
20210108-094635,0.0,0.6085633821908367
20210108-094638,0.0,0.6085633821908367
20210108-094641,0.0,0.6085633821908367
20210108-094644,0.0,0.6085633821908367
20210108-094647,0.0,0.6085633821908367
20210108-094650,0.3,0.6085633821908367
20210108-094653,0.0,0.6085633821908367
20210108-094656,0.0,0.6085633821908367
20210108-094659,0.0,0.6085633821908367
20210108-094702,0.0,0.6085633821908367
20210108-094705,0.0,0.6085633821908367
20210108-094708,0.0,0.6085633821908367
20210108-094711,0.0,0.6085633821908367
20210108-094714,0.0,0.6085633821908367
20210108-094717,0.0,0.6085633821908367
20210108-094720,0.0,0.6085633821908367
20210108-094723,0.0,0.6085633821908367
20210108-094726,0.0,0.6085633821908367
20210108-094729,0.0,0.6085633821908367
20210108-094732,0.0,0.6085633821908367
20210108-094735,0.0,0.6085633821908367
20210108-094738,0.0,0.6085633821908367
20210108-094741,0.0,0.6085633821908367
20210108-094744,0.0,0.6085633821908367
20210108-094747,0.0,0.6085633821908367
20210108-094750,0.0,0.6085633821908367
20210108-094753,0.3,0.6085633821908367
20210108-094756,0.0,0.6085633821908367
20210108-094759,0.0,0.6085633821908367
20210108-094802,0.0,0.6085633821908367
20210108-094805,0.0,0.6085633821908367
20210108-094808,0.0,0.6085633821908367
20210108-094811,0.0,0.6085633821908367
20210108-094814,0.0,0.6085633821908367
20210108-094817,0.0,0.6085633821908367
20210108-094820,0.0,0.6085633821908367
20210108-094823,0.0,0.6085633821908367
20210108-094826,0.0,0.6085633821908367
20210108-094829,0.0,0.6085633821908367
20210108-094832,0.0,0.6085633821908367
20210108-094835,0.0,0.6085633821908367
20210108-094838,0.0,0.6085633821908367
20210108-094841,0.0,0.6085633821908367
20210108-094844,0.0,0.6085633821908367
20210108-094847,0.0,0.6085633821908367
20210108-094850,0.0,0.6085633821908367
20210108-094853,0.0,0.6085633821908367
20210108-094856,0.0,0.6085633821908367
20210108-094859,0.0,0.6085633821908367
20210108-094902,0.0,0.6085633821908367
20210108-094905,0.3,0.6085633821908367
20210108-094908,0.0,0.6085633821908367
20210108-094911,0.0,0.6085633821908367
20210108-094914,0.0,0.6085633821908367
20210108-094917,0.0,0.6085633821908367
20210108-094920,0.0,0.6085633821908367
20210108-094923,0.0,0.6085633821908367
20210108-094926,0.0,0.6085633821908367
20210108-094929,0.0,0.6085633821908367
20210108-094932,0.0,0.6085633821908367
20210108-094935,48.3,0.6927777006169138
20210108-094938,1.7,0.6928627226446029
20210108-094941,0.0,0.6928627226446029
20210108-094944,0.0,0.6928627226446029
20210108-094947,0.3,0.6928627226446029
20210108-094950,0.0,0.6928627226446029
20210108-094953,0.3,0.6928991606564696
20210108-094956,0.0,0.6928991606564696
20210108-094959,0.3,0.6928991606564696
20210108-095002,0.0,0.6928991606564696
20210108-095005,0.0,0.6928991606564696
20210108-095008,0.0,0.6928991606564696
20210108-095011,0.0,0.6928991606564696
20210108-095014,0.0,0.6928991606564696
20210108-095017,0.0,0.6928991606564696
20210108-095020,0.0,0.6928991606564696
20210108-095023,0.0,0.6928991606564696
20210108-095026,0.0,0.6928991606564696
20210108-095029,0.0,0.6928991606564696
20210108-095032,0.0,0.6928991606564696
20210108-095035,0.0,0.6928991606564696
20210108-095038,0.0,0.6928991606564696
20210108-095041,0.0,0.6928991606564696
20210108-095044,0.0,0.6928991606564696
20210108-095047,0.0,0.6928991606564696
20210108-095050,0.0,0.6928991606564696
20210108-095053,5.0,0.7364547308412123
20210108-095056,0.0,0.7364547308412123
20210108-095059,0.0,0.7364547308412123
20210108-095102,0.0,0.7364547308412123
20210108-095105,0.0,0.7364547308412123
20210108-095108,0.0,0.7364547308412123
20210108-095111,0.0,0.7364547308412123
20210108-095114,0.0,0.7364547308412123
20210108-095117,0.0,0.7364547308412123
20210108-095120,0.0,0.7364547308412123
20210108-095123,0.0,0.7364547308412123
20210108-095126,0.0,0.7364547308412123
20210108-095129,0.0,0.7364547308412123
20210108-095132,0.0,0.7364547308412123
20210108-095135,0.0,0.7364547308412123
20210108-095138,0.0,0.7364547308412123
20210108-095141,0.0,0.7364547308412123
20210108-095144,0.0,0.7364547308412123
20210108-095147,0.3,0.7364547308412123
20210108-095150,0.0,0.7364547308412123
20210108-095153,0.0,0.7364547308412123
20210108-095156,0.0,0.7364547308412123
20210108-095159,0.0,0.7364547308412123
20210108-095202,0.0,0.7364547308412123
20210108-095205,0.0,0.7364547308412123
20210108-095208,0.0,0.7364547308412123
20210108-095211,0.0,0.7364547308412123
20210108-095214,0.0,0.7364547308412123
20210108-095217,0.0,0.7364547308412123
20210108-095220,0.0,0.7364547308412123
20210108-095223,0.0,0.7364547308412123
20210108-095226,0.0,0.7364547308412123
20210108-095229,0.0,0.7364547308412123
20210108-095232,0.0,0.7364547308412123
20210108-095235,0.0,0.7364547308412123
20210108-095238,0.0,0.7364547308412123
20210108-095241,0.0,0.7364547308412123
20210108-095244,0.0,0.7364547308412123
20210108-095247,0.0,0.7364547308412123
20210108-095250,0.0,0.7364547308412123
20210108-095253,0.0,0.7364547308412123
20210108-095256,0.0,0.7364547308412123
20210108-095259,0.3,0.7364547308412123
20210108-095302,0.0,0.7364547308412123
20210108-095305,0.0,0.7364547308412123
20210108-095308,0.0,0.7364547308412123
20210108-095311,0.0,0.7364547308412123
20210108-095314,0.0,0.7364547308412123
20210108-095317,0.0,0.7364547308412123
20210108-095320,0.0,0.7364547308412123
20210108-095323,0.0,0.7364547308412123
20210108-095326,0.0,0.7364547308412123
20210108-095329,0.0,0.7364547308412123
20210108-095332,0.0,0.7364547308412123
20210108-095335,0.0,0.7364547308412123
20210108-095338,0.0,0.7364547308412123
20210108-095341,34.0,0.8777431218546026
20210108-095344,24.0,0.7984661540364724
20210108-095347,0.3,0.7984661540364724
20210108-095350,0.0,0.7984661540364724
20210108-095353,0.0,0.7984661540364724
20210108-095356,0.0,0.7984661540364724
20210108-095359,0.0,0.7984722270384502
20210108-095402,0.0,0.7984722270384502
20210108-095405,0.0,0.7984722270384502
20210108-095408,0.0,0.7984722270384502
20210108-095411,0.3,0.7984722270384502
20210108-095414,0.0,0.7984722270384502
20210108-095417,0.0,0.7984722270384502
20210108-095420,0.0,0.7984722270384502
20210108-095423,0.0,0.7984722270384502
20210108-095426,0.0,0.7984722270384502
20210108-095429,0.0,0.7984722270384502
20210108-095432,0.0,0.7984722270384502
20210108-095435,0.0,0.7984722270384502
20210108-095438,0.0,0.7984722270384502
20210108-095441,0.0,0.7984722270384502
20210108-095444,0.0,0.7984722270384502
20210108-095447,0.0,0.7984722270384502
20210108-095450,0.0,0.7984722270384502
20210108-095453,0.0,0.7984722270384502
20210108-095456,0.0,0.7984722270384502
20210108-095459,6.0,0.8555584456297189
20210108-095502,0.0,0.8555584456297189
20210108-095505,0.0,0.8555584456297189
20210108-095508,0.0,0.8555584456297189
20210108-095511,0.0,0.8555584456297189
20210108-095514,0.0,0.8555584456297189
20210108-095517,0.0,0.8555584456297189
20210108-095520,0.0,0.8555584456297189
20210108-095523,0.0,0.8555584456297189
20210108-095526,0.0,0.8555584456297189
20210108-095529,0.0,0.8555584456297189
20210108-095532,0.0,0.8555584456297189
20210108-095535,0.0,0.8555584456297189
20210108-095538,0.0,0.8555584456297189
20210108-095541,0.0,0.8555584456297189
20210108-095544,0.0,0.8555584456297189
20210108-095547,0.0,0.8555584456297189
20210108-095550,0.0,0.8555584456297189
20210108-095553,0.0,0.8555584456297189
20210108-095556,0.0,0.8555584456297189
20210108-095559,0.0,0.8555584456297189
20210108-095602,0.0,0.8555584456297189
20210108-095605,0.3,0.8555584456297189
20210108-095608,0.0,0.8555584456297189
20210108-095611,0.0,0.8555584456297189
20210108-095614,0.0,0.8555584456297189
20210108-095617,0.0,0.8555584456297189
20210108-095620,0.0,0.8555584456297189
20210108-095623,0.0,0.8555584456297189
20210108-095626,0.0,0.8555584456297189
20210108-095629,0.0,0.8555584456297189
20210108-095632,0.0,0.8555584456297189
20210108-095635,0.0,0.8555584456297189
20210108-095638,0.0,0.8555584456297189
20210108-095641,0.0,0.8555584456297189
20210108-095644,0.0,0.8555584456297189
20210108-095647,0.0,0.8555584456297189
20210108-095650,0.0,0.8555584456297189
20210108-095653,0.0,0.8555584456297189
20210108-095656,0.0,0.8555584456297189
20210108-095659,0.0,0.8555584456297189
20210108-095702,0.0,0.8555584456297189
20210108-095705,0.0,0.8555584456297189
20210108-095708,0.0,0.8555584456297189
20210108-095711,0.0,0.8555584456297189
20210108-095714,0.0,0.8555584456297189
20210108-095717,0.0,0.8555584456297189
20210108-095720,0.3,0.8555584456297189
20210108-095723,28.0,0.9705568110812367
20210108-095726,25.7,0.8241792444104546
20210108-095729,0.0,0.8241792444104546
20210108-095732,0.0,0.8241792444104546
20210108-095735,0.0,0.8241792444104546
20210108-095738,0.0,0.8241792444104546
20210108-095741,0.7,0.8241792444104546
20210108-095744,0.0,0.8241792444104546
20210108-095747,0.0,0.8241792444104546
20210108-095750,0.3,0.8241792444104546
20210108-095753,0.0,0.8241792444104546
20210108-095756,0.0,0.8241792444104546
20210108-095759,0.0,0.8241792444104546
20210108-095802,0.0,0.8241792444104546
20210108-095805,0.0,0.8241792444104546
20210108-095808,0.0,0.8241792444104546
20210108-095811,0.0,0.8241792444104546
20210108-095814,0.0,0.8241792444104546
20210108-095817,0.0,0.8241792444104546
20210108-095820,0.0,0.8241792444104546
20210108-095823,0.0,0.8241792444104546
20210108-095826,0.0,0.8241792444104546
20210108-095829,4.7,0.585437390659395
20210108-095832,0.0,0.585437390659395
20210108-095835,0.3,0.585437390659395
20210108-095838,0.0,0.585437390659395
20210108-095841,3.3,0.5916865096945456
20210108-095844,0.0,0.5916865096945456
20210108-095847,0.3,0.5916865096945456
20210108-095850,0.0,0.5916865096945456
20210108-095853,0.0,0.5916865096945456
20210108-095856,0.3,0.5917168747044346
20210108-095859,0.3,0.5917168747044346
20210108-095902,0.3,0.5917168747044346
20210108-095905,0.0,0.5917168747044346
20210108-095908,0.0,0.5917168747044346
20210108-095911,0.0,0.5917168747044346
20210108-095914,0.3,0.5917168747044346
20210108-095917,0.0,0.5917168747044346
20210108-095920,0.0,0.5917168747044346
20210108-095923,0.0,0.5917168747044346
20210108-095926,0.0,0.5917168747044346
20210108-095929,0.0,0.5917168747044346
20210108-095932,0.3,0.5917168747044346
20210108-095935,0.0,0.5917168747044346
20210108-095938,0.0,0.5917168747044346
20210108-095941,0.0,0.5917168747044346
20210108-095944,0.3,0.5917168747044346
20210108-095947,0.0,0.5917168747044346
20210108-095950,0.0,0.5917168747044346
20210108-095953,0.3,0.5917168747044346
20210108-095956,5.7,0.6497687006101727
20210108-095959,0.0,0.6497687006101727
20210108-100002,0.0,0.6497687006101727
20210108-100005,0.0,0.6497687006101727
20210108-100008,0.3,0.6497687006101727
20210108-100011,0.0,0.6497687006101727
20210108-100014,0.3,0.6497687006101727
20210108-100017,0.0,0.6497687006101727
20210108-100020,0.0,0.6497687006101727
20210108-100023,0.3,0.6497687006101727
20210108-100026,0.0,0.6497687006101727
20210108-100029,0.0,0.6497687006101727
20210108-100032,0.0,0.6497687006101727
20210108-100035,0.3,0.6497687006101727
20210108-100038,0.0,0.6497687006101727
20210108-100041,0.0,0.6497687006101727
20210108-100044,0.0,0.6497687006101727
20210108-100047,0.3,0.6497687006101727
20210108-100050,0.0,0.6497687006101727
20210108-100053,0.0,0.6497687006101727
20210108-100056,0.0,0.6497687006101727
20210108-100059,0.0,0.6497687006101727
20210108-100102,0.0,0.6497687006101727
20210108-100105,0.3,0.6497687006101727
20210108-100108,0.3,0.6497687006101727
20210108-100111,0.0,0.6497687006101727
20210108-100115,0.0,0.6497687006101727
20210108-100118,0.0,0.6497687006101727
20210108-100121,0.0,0.6497687006101727
20210108-100124,0.3,0.6497687006101727
20210108-100127,0.0,0.6497687006101727
20210108-100130,0.0,0.6497687006101727
20210108-100133,0.0,0.6497687006101727
20210108-100136,0.0,0.6497687006101727
20210108-100139,0.3,0.6497687006101727
20210108-100142,0.3,0.6497687006101727
20210108-100145,0.0,0.6497687006101727
20210108-100148,0.0,0.6497687006101727
20210108-100151,0.0,0.6497687006101727
20210108-100154,0.3,0.6497687006101727
20210108-100157,0.0,0.6497687006101727
20210108-100200,0.0,0.6497687006101727
20210108-100203,0.0,0.6497687006101727
20210108-100206,0.3,0.6497687006101727
20210108-100209,0.0,0.6497687006101727
20210108-100212,0.0,0.6497687006101727
20210108-100215,0.0,0.6497687006101727
20210108-100218,0.0,0.6497687006101727
20210108-100221,0.0,0.6497687006101727
20210108-100224,0.3,0.6497687006101727
20210108-100227,0.0,0.6497687006101727
20210108-100230,0.0,0.6497687006101727
20210108-100233,0.3,0.6497687006101727
20210108-100236,0.0,0.6497687006101727
20210108-100239,0.3,0.6497687006101727
20210108-100242,0.0,0.6497687006101727
20210108-100245,0.0,0.6497687006101727
20210108-100248,0.0,0.6497687006101727
20210108-100251,0.0,0.6497687006101727
20210108-100254,0.3,0.6497687006101727
20210108-100257,0.0,0.6497687006101727
20210108-100300,0.0,0.6497687006101727
20210108-100303,0.0,0.6497687006101727
20210108-100306,0.3,0.6497687006101727
20210108-100309,0.0,0.6497687006101727
20210108-100312,0.0,0.6497687006101727
20210108-100315,0.0,0.6497687006101727
20210108-100318,0.3,0.6497687006101727
20210108-100321,0.0,0.6497687006101727
20210108-100324,35.5,0.8005917047287006
20210108-100327,24.3,0.9756642057445619
20210108-100330,0.0,0.9756642057445619
20210108-100333,0.0,0.9756642057445619
20210108-100336,0.0,0.9756642057445619
20210108-100339,0.0,0.9756642057445619
20210108-100342,0.7,0.9756642057445619
20210108-100345,0.0,0.9756642057445619
20210108-100348,0.3,0.9756642057445619
20210108-100351,0.0,0.9756642057445619
20210108-100354,0.3,0.9756642057445619
20210108-100357,0.0,0.9756642057445619
20210108-100400,0.0,0.9756642057445619
20210108-100403,0.0,0.9756642057445619
20210108-100406,0.0,0.9756642057445619
20210108-100409,0.3,0.9756642057445619
20210108-100412,0.0,0.9756642057445619
20210108-100415,0.0,0.9756642057445619
20210108-100418,0.0,0.9756642057445619
20210108-100421,0.3,0.9756642057445619
20210108-100424,0.0,0.9756642057445619
20210108-100427,0.0,0.9756642057445619
20210108-100430,0.0,0.9756642057445619
20210108-100433,0.0,0.9756642057445619
20210108-100436,0.3,0.9756642057445619
20210108-100439,0.0,0.9756642057445619
20210108-100442,5.7,0.9873486615498386
20210108-100445,0.3,0.9873486615498386
20210108-100448,0.0,0.9873486615498386
20210108-100451,0.0,0.9873486615498386
20210108-100454,0.0,0.9873486615498386
20210108-100457,0.0,0.9873486615498386
20210108-100500,0.0,0.9873486615498386
20210108-100503,0.3,0.9873486615498386
20210108-100506,0.3,0.9873486615498386
20210108-100509,0.0,0.9873486615498386
20210108-100512,0.0,0.9873486615498386
20210108-100515,0.0,0.9873486615498386
20210108-100518,0.3,0.9873486615498386
20210108-100521,0.0,0.9873486615498386
20210108-100524,0.0,0.9873486615498386
20210108-100527,0.0,0.9873486615498386
20210108-100530,0.3,0.9873486615498386
20210108-100533,0.0,0.9873486615498386
20210108-100536,0.0,0.9873486615498386
20210108-100539,0.0,0.9873486615498386
20210108-100542,0.0,0.9873486615498386
20210108-100545,0.3,0.9873486615498386
20210108-100548,0.0,0.9873486615498386
20210108-100551,0.0,0.9873486615498386
20210108-100554,0.0,0.9873486615498386
20210108-100557,0.3,0.9873486615498386
20210108-100600,0.0,0.9873486615498386
20210108-100603,0.0,0.9873486615498386
20210108-100606,0.0,0.9873486615498386
20210108-100609,0.3,0.9873486615498386
20210108-100612,0.0,0.9873486615498386
20210108-100615,0.0,0.9873486615498386
20210108-100618,0.3,0.9873486615498386
20210108-100621,0.0,0.9873486615498386
20210108-100624,0.0,0.9873486615498386
20210108-100627,0.0,0.9873486615498386
20210108-100630,0.3,0.9873486615498386
20210108-100633,0.0,0.9873486615498386
20210108-100636,0.0,0.9873486615498386
20210108-100639,0.0,0.9873486615498386
20210108-100642,0.3,0.9873486615498386
20210108-100645,0.0,0.9873486615498386
20210108-100648,0.0,0.9873486615498386
20210108-100651,0.0,0.9873486615498386
20210108-100654,0.3,0.9873547345518164
20210108-100657,0.0,0.9873547345518164
20210108-100700,0.0,0.9873547345518164
20210108-100703,0.0,0.9873547345518164
20210108-100706,0.0,0.9873547345518164
20210108-100709,0.3,0.9873547345518164
20210108-100712,0.0,0.9873547345518164
20210108-100715,0.0,0.9873547345518164
20210108-100718,0.3,0.9873547345518164
20210108-100721,0.0,0.9873547345518164
20210108-100724,0.0,0.9873547345518164
20210108-100727,0.0,0.9873547345518164
20210108-100730,0.3,0.9873547345518164
20210108-100733,0.0,0.9873547345518164
20210108-100736,0.0,0.9873547345518164
20210108-100739,0.3,0.9873547345518164
20210108-100742,0.0,0.9873547345518164
20210108-100745,0.0,0.9873547345518164
20210108-100748,0.0,0.9873547345518164
20210108-100751,0.3,0.9873547345518164
20210108-100754,0.0,0.9873547345518164
20210108-100757,0.0,0.9873547345518164
20210108-100800,0.0,0.9873547345518164
20210108-100803,64.6,1.0135050810681996
20210108-100806,2.0,1.0135111540701776
20210108-100809,0.0,1.0135111540701776
20210108-100812,0.0,1.0135111540701776
20210108-100815,0.0,1.0135111540701776
20210108-100818,0.3,1.0135111540701776
20210108-100821,0.3,1.0135111540701776
20210108-100824,0.0,1.0135111540701776
20210108-100827,0.3,1.0135111540701776
20210108-100830,0.0,1.0135111540701776
20210108-100833,0.0,1.0135111540701776
20210108-100836,0.0,1.0135111540701776
20210108-100839,0.3,1.0135111540701776
20210108-100842,0.0,1.0135111540701776
20210108-100845,0.0,1.0135111540701776
20210108-100848,0.0,1.0135111540701776
20210108-100851,0.0,1.0135111540701776
20210108-100854,0.3,1.0135111540701776
20210108-100857,0.0,1.0135111540701776
20210108-100900,0.0,1.0135111540701776
20210108-100903,0.0,1.0135111540701776
20210108-100906,0.7,1.0135111540701776
20210108-100909,0.0,1.0135111540701776
20210108-100912,0.0,1.0135111540701776
20210108-100915,0.0,1.0135111540701776
20210108-100918,0.0,1.0135111540701776
20210108-100921,5.7,1.0226145840348917
20210108-100924,0.0,1.0226145840348917
20210108-100927,0.0,1.0226145840348917
20210108-100930,0.3,1.0226145840348917
20210108-100933,0.0,1.0226145840348917
20210108-100936,0.0,1.0226145840348917
20210108-100939,0.0,1.0226145840348917
20210108-100942,0.0,1.0226145840348917
20210108-100945,0.0,1.0226145840348917
20210108-100948,0.3,1.0226145840348917
20210108-100951,0.3,1.0226145840348917
20210108-100954,0.0,1.0226145840348917
20210108-100957,0.0,1.0226145840348917
20210108-101000,0.0,1.0226145840348917
20210108-101003,0.0,1.0226145840348917
20210108-101006,0.3,1.0226145840348917
20210108-101009,0.0,1.0226145840348917
20210108-101012,0.0,1.0226145840348917
20210108-101015,0.0,1.0226145840348917
20210108-101018,0.3,1.0226145840348917
20210108-101021,0.0,1.0226145840348917
20210108-101024,0.0,1.0226145840348917
20210108-101027,0.0,1.0226145840348917
20210108-101030,0.3,1.0226145840348917
20210108-101033,0.0,1.0226145840348917
20210108-101036,0.0,1.0226145840348917
20210108-101039,0.0,1.0226145840348917
20210108-101042,0.3,1.0226145840348917
20210108-101045,0.0,1.0226145840348917
20210108-101048,0.0,1.0226145840348917
20210108-101051,0.0,1.0226145840348917
20210108-101054,0.0,1.0226145840348917
20210108-101057,0.3,1.0226145840348917
20210108-101100,0.3,1.0226145840348917
20210108-101103,0.0,1.0226145840348917
20210108-101106,0.0,1.0226145840348917
20210108-101109,0.0,1.0226145840348917
20210108-101112,0.0,1.0226145840348917
20210108-101115,0.3,1.0226145840348917
20210108-101118,0.0,1.0226145840348917
20210108-101121,0.0,1.0226145840348917
20210108-101124,0.0,1.0226145840348917
20210108-101127,0.3,1.0226145840348917
20210108-101130,0.0,1.0226145840348917
20210108-101133,0.0,1.0226145840348917
20210108-101136,0.0,1.0226145840348917
20210108-101139,0.0,1.0226145840348917
20210108-101142,0.3,1.0226145840348917
20210108-101145,0.0,1.0226145840348917
20210108-101148,0.0,1.0226145840348917
20210108-101151,0.3,1.0226145840348917
20210108-101154,0.0,1.0226145840348917
20210108-101157,0.3,1.0226145840348917
20210108-101200,0.0,1.0226145840348917
20210108-101203,0.3,1.0226145840348917
20210108-101206,0.0,1.0226145840348917
20210108-101209,0.0,1.0226145840348917
20210108-101212,0.0,1.0226145840348917
20210108-101215,0.3,1.0226145840348917
20210108-101218,0.0,1.0226145840348917
20210108-101221,0.0,1.0226145840348917
20210108-101224,0.0,1.0226145840348917
20210108-101227,0.0,1.0226145840348917
20210108-101230,0.0,1.0226145840348917
20210108-101233,0.0,1.0226145840348917
20210108-101236,0.3,1.0226145840348917
20210108-101239,0.3,1.0226145840348917
20210108-101242,0.0,1.0226145840348917
20210108-101245,0.0,1.0226145840348917
20210108-101248,0.0,1.0226145840348917
20210108-101251,0.3,1.0226145840348917
20210108-101254,0.0,1.0226145840348917
20210108-101257,0.0,1.0226145840348917
20210108-101300,0.0,1.0226145840348917
20210108-101303,0.0,1.0226145840348917
20210108-101306,0.3,1.0226145840348917
20210108-101309,0.0,1.0226145840348917
20210108-101312,0.0,1.0226145840348917
20210108-101315,67.2,0.9801643002101077
20210108-101318,0.3,0.9801643002101077
20210108-101321,0.0,0.9801643002101077
20210108-101324,0.0,0.9801643002101077
20210108-101327,0.0,0.9801643002101077
20210108-101330,0.0,0.9801643002101077
20210108-101333,1.0,0.9801643002101077
20210108-101336,0.0,0.9801643002101077
20210108-101339,0.0,0.9801643002101077
20210108-101342,0.0,0.9801643002101077
20210108-101345,0.0,0.9801643002101077
20210108-101348,0.3,0.9801643002101077
